invoice_number,date,cuin,vendor_name,vendor_address,vendor_contact,po_number,delivery_note_challan_number,sub_total,total_amount,currency,total_tax_amount,goods_services_details,tax_details,tax_id,vat_pin,source_file
266900,09-10-2024,10196450000046000.00,allpack indUStries ltd.,"P.O. Box 3741 - 00506 nyayo stadium, nairobi, kenya","Tel.: (020) 2015680, 2044638, 2014403, 2099007
Mob.; +254 - 722 - 205512, 733 - 601590 ny
Email: info@allpack.co.ke OF",24004602,C132893,,,KES,,"[{'description': 'NDUME SUPERIOR WASHING BAR SOAP 10XiKG', 'quantity': 11600, 'unit_price': 24.61}]","[{'tax_type': 'VAT', 'rate': None, 'amount': None}]",0019791K,P000606242R,ALLPACK 266900.pdf
267249,14-10-2024,10196450000046400.00,allpack indUStries ltd.,"P.O. Box 3741 - 00506 nyayo stadium, nairobi, kenya","Tel.: (020) 2015680, 2044638, 9014403, 2099007
Mob.: +254 - 722 - 905519, 733 - 601590
Email: info@allpack.co.ke",24004602,,138268.36,,KES,32.35,"[{'description': 'DETREX 72 X 80GMS COMBINED VARIANTS 27.89 32.35 138,268.36) WRAPPED/BLUE', 'quantity': 4958, 'unit_price': 27.89}]","[{'tax_type': 'VAT', 'rate': None, 'amount': 32.35}]",0019791K,PO00606249R,ALLPACK 267249.pdf
267709,2024-10-32,10196450000046000.00,allpack indUStries ltd.,"P.O. Box 3741 - 00506 ayayo stadium, nairobi, kenya
P O Box 81927
5 MOMBASA et","Tel.: (020) 2015680, 2044638, 2014403, 2099007
Mob.: +254 - 729 - 905519, 733 - 601590
Email: info@allpack.co.ke",24004602,,4153.29,,KES,,"[{'description': 'ONJA MARGARINE (PREMIUM) EMPTY CARTON 10KG', 'quantity': 518, 'unit_price': 50.11}]","[{'tax_type': 'V.A.T', 'rate': '16%', 'amount': 4153.29}]",0019791K,P000606249R,ALLPACK 267709.pdf
268037,26-10-2024,9019196450000040000.00,allpack indUStries ltd.,"P.O. Box 3741 - 00506 nyayo stadium, nairobi, kenya
Tel.: (020) 2015680, 2044638, 2014403, 2099007
Mob.: +254 - 722 - 205512, 733 - 601590
Email: info@allpack.co.ke","+254 - 722 - 205512, 733 - 601590, info@allpack.co.ke",24004602,,109684.8,,KES,45,"[{'description': 'FG/PWO001/455', 'quantity': 33, 'unit_price': 36.16}, {'description': 'FG/PWO001/455', 'quantity': 3000, 'unit_price': 36.16}]","[{'tax_type': 'VAT', 'rate': None, 'amount': 45}]",0019791K,P000606249R,ALLPACK 268037.pdf
4908,19-10-2024,,ASHUT PLASTICS LIMITED,"HEAD OFFICE NAIROBI BRANCH
MIKINDANI STREET ‘LOKITAUNG ROAD OFF LIKONI ROAD
P.O. BOX 98545, 80100, INDUSTRIAL AREA
MOMBASA P.O. BOX 44669-00100, NAIROBI","+254715370864/+254737552222
customercare@ashut.com, sales@ashut.com",24004592,GRN# : 32413390,,,KES,,"[{'description': 'Fresh Fri Jerry Can 2LT (N)', 'quantity': 10000, 'unit_price': 0}]",[],PO510924 65B,P051897122Z,ASHUT 4908.pdf
4814,07-10-2024,,ASHUT PLASTICS LTD.,"HEAD OFFICE NAIROBI BRANCH
MIKINDANI STREET LOKITAUNG ROAD OFF LIKONI ROAD
P.O. BOX 98545, 80100, INDUSTRIAL AREA
MOMBASA : P.O. BOX 44669-00100, NAIROBI","+254715370864/+254737552222, customercare@ashut.com, sales@ashut.com",24004592,GRN# : 32412730,2982,,KES,,"[{'description': 'Fresh Fri Jerry Can SLT (N)', 'quantity': 2982, 'unit_price': 0}]",[],P051897122Z,P051897122Z,ASHUT IK4814.pdf
4816,07-10-2024,,ASHUT PLASTICS LTD.,"HEAD OFFICE NAIROBI BRANCH
MIKINDANI STREET ‘ LOKITAUNG ROAD OFF LIKONI ROAD
ASHUT P.O. BOX 98545, 80100, INDUSTRIAL AREA
MOMBASA P.O. BOX 44669-00100, NAIROBI","+254715370864/+254737552222; customercare@ashut.com, sales@ashut.com",24004592,GRN# : 32412726,,,KES,,"[{'description': 'Fresh Fri Jerry Can 2LT (N)', 'quantity': 11600, 'unit_price': 0}]",[],P051897122Z,P051897122Z,ASHUT IK4816.pdf
4841,11-10-2024,,ASHUT PLASTICS LTD.,"HEAD OFFICE NAIROBI BRANCH
MIKINDANI STREET LOKITAUNG ROAD OFF LIKONI ROAD
P.O. BOX 98545, 80100, INDUSTRIAL AREA
MOMBASA P.O. BOX 44669-00100, NAIROBI","+254715370864/+254737552222
customercare@ashut.com, sales@ashut.com",24004592,GRN# : 32413056,,,KES,,"[{'description': 'Fresh Fri Jerry Can 5LT (N) Rl', 'quantity': None, 'unit_price': 0}]",[],,P051 897122Z,ASHUT IK4841.pdf
4862,16-10-2024,,Ashut Plastics limited,"HEAD OFFICE
MIKINDANI STREET
P.O. BOX 98545, 80100, INDUSTRIAL AREA
MOMBASA
P.O. BOX 44669-00100, NAIROBI","+254715370864/+254737552222
customercare@ashut.com, sales@ashut.com",24004592,GRN# : 32413267,,,KES,,"[{'description': 'Fresh Fri Jerrycan 500ML -Type B', 'quantity': 9750, 'unit_price': 0}, {'description': 'Fresh Fri Jerry Can 1LT Type B', 'quantity': 14952, 'unit_price': 0}]",[],,P051897122Z,ASHUT IK4862.pdf
BP2/SI/OO6986/2024,25-10-2024,10193320000070700.00,BLOWPLAST LIMITED,"PO BOX : 19029-00500, Phy Address: Kuich Road, OF Mombasa
Read, Kutch Road., Miclonge town, Machakas, Kenya.","Tel » 202107 197
Fax  ; 254-020-565358
Email : adming@blawplastkenya.com",24004593,BPZIDNOTOOT24 42024,1786.4,12951.4,KES,,"[{'description': '20LTRPWAN! pant 20LTR 100CM140CM* GUNIA', 'quantity': 154, 'unit_price': 72.5}]",[],PQ51108549D,G103156A,BLOW  6986.pdf
